Species,Source,FMAXE,D
Hipposideros armiger,"Chakravarty, et al. 2020",69.79672397,7.826180319
Hipposideros armiger,"Chakravarty, et al. 2020",68.17701707,7.582866848
Hipposideros armiger,"Chakravarty, et al. 2020",66.71689197,7.720455104
Hipposideros armiger,"Chakravarty, et al. 2020",68.8140312,7.537773398
Hipposideros armiger,"Chakravarty, et al. 2020",68.8140312,7.537773398
Hipposideros armiger,"Chakravarty, et al. 2020",69.79672397,7.826180319
Hipposideros armiger,"Chakravarty, et al. 2020",68.8140312,7.537773398
Hipposideros armiger,"Chakravarty, et al. 2020",68.17701707,7.582866848
Hipposideros armiger,"Chakravarty, et al. 2020",68.8140312,7.537773398
Hipposideros armiger,"Chakravarty, et al. 2020",69.26699425,7.788097448
Hipposideros armiger,"Chakravarty, et al. 2020",66.71689197,7.720455104
Hipposideros armiger,"Chakravarty, et al. 2020",68.17701707,7.582866848
Hipposideros armiger,"Chakravarty, et al. 2020",66.71689197,7.720455104
Hipposideros armiger,"Chakravarty, et al. 2020",69.26699425,7.788097448
Hipposideros armiger,"Chakravarty, et al. 2020",68.17701707,7.582866848
Hipposideros armiger,"Chakravarty, et al. 2020",68.17701707,7.582866848
Hipposideros armiger,"Chakravarty, et al. 2020",68.8140312,7.537773398
Hipposideros ater,"Raman & Hughes, 2020",165.2532887,3.45141998
Hipposideros ater,"Raman & Hughes, 2020",165.1632279,3.589072475
Hipposideros ater,"Raman & Hughes, 2020",165.1632279,3.589072475
Hipposideros ater,"Raman & Hughes, 2020",165.0176716,3.744568868
Hipposideros ater,"Raman & Hughes, 2020",165.324558,4.215342465
Hipposideros ater,"Raman & Hughes, 2020",164.5075569,4.195787354
Hipposideros ater,"Raman & Hughes, 2020",165.4173292,4.216373466
Hipposideros ater,"Raman & Hughes, 2020",165.324558,4.215342465
Hipposideros ater,"Raman & Hughes, 2020",165.4173292,4.216373466
Hipposideros ater,"Raman & Hughes, 2020",165.2532887,3.45141998
Hipposideros ater,"Raman & Hughes, 2020",164.6286374,3.68370831
Hipposideros ater,"Raman & Hughes, 2020",164.5075569,4.195787354
Hipposideros ater,"Raman & Hughes, 2020",165.0176716,3.744568868
Hipposideros ater,"Raman & Hughes, 2020",164.4531535,4.010204525
Hipposideros ater,"Raman & Hughes, 2020",165.324558,4.215342465
Hipposideros ater,"Raman & Hughes, 2020",165.4173292,4.216373466
Hipposideros ater,"Raman & Hughes, 2020",164.6286374,3.68370831
Hipposideros ater,"Raman & Hughes, 2020",165.324558,4.215342465
Hipposideros ater,"Raman & Hughes, 2020",165.0176716,3.744568868
Hipposideros ater,"Raman & Hughes, 2020",164.3181194,3.481056312
Hipposideros ater,"Raman & Hughes, 2020",165.2532887,3.45141998
Hipposideros ater,"Raman & Hughes, 2020",164.5075569,4.195787354
Hipposideros ater,"Raman & Hughes, 2020",164.3181194,3.481056312
Hipposideros ater,"Raman & Hughes, 2020",165.2532887,3.45141998
Hipposideros ater,"Raman & Hughes, 2020",165.5759772,4.256850687
Hipposideros ater,"Raman & Hughes, 2020",165.4173292,4.216373466
Hipposideros ater,"Raman & Hughes, 2020",164.5075569,4.195787354
Hipposideros ater,"Raman & Hughes, 2020",164.5075569,4.195787354
Hipposideros ater,"Raman & Hughes, 2020",165.0176716,3.744568868
Hipposideros ater,"Raman & Hughes, 2020",165.1632279,3.589072475
Hipposideros ater,"Raman & Hughes, 2020",165.0176716,3.744568868
Hipposideros ater,"Raman & Hughes, 2020",165.4173292,4.216373466
Hipposideros ater,"Raman & Hughes, 2020",165.5759772,4.256850687
Hipposideros ater,"Raman & Hughes, 2020",164.4531535,4.010204525
Hipposideros ater,"Raman & Hughes, 2020",164.5075569,4.195787354
Hipposideros ater,"Raman & Hughes, 2020",165.4173292,4.216373466
Hipposideros ater,"Raman & Hughes, 2020",165.1632279,3.589072475
Hipposideros ater,"Raman & Hughes, 2020",165.1632279,3.589072475
Hipposideros ater,"Raman & Hughes, 2020",164.3181194,3.481056312
Hipposideros ater,"Raman & Hughes, 2020",165.2532887,3.45141998
Hipposideros ater,"Raman & Hughes, 2020",164.4531535,4.010204525
Hipposideros ater,"Raman & Hughes, 2020",165.2532887,3.45141998
Hipposideros ater,"Raman & Hughes, 2020",165.324558,4.215342465
Hipposideros ater,"Raman & Hughes, 2020",165.324558,4.215342465
Hipposideros ater,"Raman & Hughes, 2020",164.6286374,3.68370831
Hipposideros ater,"Raman & Hughes, 2020",164.3181194,3.481056312
Hipposideros ater,"Raman & Hughes, 2020",165.5759772,4.256850687
Hipposideros ater,"Raman & Hughes, 2020",165.0176716,3.744568868
Hipposideros ater,"Raman & Hughes, 2020",164.6286374,3.68370831
Hipposideros ater,"Raman & Hughes, 2020",164.6286374,3.68370831
Hipposideros durgadasi,Srinivasulu et al. 2016,175.4038839,8.473610876
Hipposideros durgadasi,Srinivasulu et al. 2016,175.2036267,7.873899698
Hipposideros durgadasi,Srinivasulu et al. 2016,175.0864943,7.621301602
Hipposideros durgadasi,Srinivasulu et al. 2016,175.0864943,7.621301602
Hipposideros durgadasi,Srinivasulu et al. 2016,175.3482813,7.864250257
Hipposideros durgadasi,Srinivasulu et al. 2016,175.2933392,8.697282207
Hipposideros durgadasi,Srinivasulu et al. 2016,175.2933392,8.697282207
Hipposideros durgadasi,Srinivasulu et al. 2016,175.3470988,8.7590974
Hipposideros durgadasi,Srinivasulu et al. 2016,175.315072,7.311142644
Hipposideros durgadasi,Srinivasulu et al. 2016,174.7789457,8.21334201
Hipposideros durgadasi,Srinivasulu et al. 2016,175.3470988,8.7590974
Hipposideros durgadasi,Srinivasulu et al. 2016,175.0864943,7.621301602
Hipposideros durgadasi,Srinivasulu et al. 2016,175.0864943,7.621301602
Hipposideros durgadasi,Srinivasulu et al. 2016,175.0864943,7.621301602
Hipposideros durgadasi,Srinivasulu et al. 2016,175.0864943,7.621301602
Hipposideros durgadasi,Srinivasulu et al. 2016,175.3840973,8.598959963
Hipposideros durgadasi,Srinivasulu et al. 2016,175.1170902,7.362014546
Hipposideros durgadasi,Srinivasulu et al. 2016,175.4038839,8.473610876
Hipposideros durgadasi,Srinivasulu et al. 2016,175.3840973,8.598959963
Hipposideros durgadasi,Srinivasulu et al. 2016,175.3482813,7.864250257
Hipposideros durgadasi,Srinivasulu et al. 2016,175.3482813,7.864250257
Hipposideros durgadasi,Srinivasulu et al. 2016,174.7789457,8.21334201
Hipposideros durgadasi,Srinivasulu et al. 2016,175.3470988,8.7590974
Hipposideros durgadasi,Srinivasulu et al. 2016,175.1170902,7.362014546
Hipposideros durgadasi,Srinivasulu et al. 2016,175.2036267,7.873899698
Hipposideros durgadasi,Srinivasulu et al. 2016,174.7789457,8.21334201
Hipposideros durgadasi,Srinivasulu et al. 2016,175.2933392,8.697282207
Hipposideros durgadasi,Srinivasulu et al. 2016,175.4038839,8.473610876
Hipposideros durgadasi,Srinivasulu et al. 2016,175.3840973,8.598959963
Hipposideros durgadasi,Srinivasulu et al. 2016,175.3470988,8.7590974
Hipposideros durgadasi,Srinivasulu et al. 2016,175.2933392,8.697282207
Hipposideros durgadasi,Srinivasulu et al. 2016,175.2036267,7.873899698
Hipposideros durgadasi,Srinivasulu et al. 2016,175.0864943,7.621301602
Hipposideros durgadasi,Srinivasulu et al. 2016,175.4038839,8.473610876
Hipposideros durgadasi,Srinivasulu et al. 2016,175.0864943,7.621301602
Hipposideros durgadasi,Srinivasulu et al. 2016,175.4038839,8.473610876
Hipposideros durgadasi,Srinivasulu et al. 2016,174.7789457,8.21334201
Hipposideros durgadasi,Srinivasulu et al. 2016,174.7789457,8.21334201
Hipposideros durgadasi,Srinivasulu et al. 2016,175.3482813,7.864250257
Hipposideros durgadasi,Srinivasulu et al. 2016,175.3482813,7.864250257
Hipposideros durgadasi,Srinivasulu et al. 2016,175.315072,7.311142644
Hipposideros durgadasi,Srinivasulu et al. 2016,175.3482813,7.864250257
Hipposideros durgadasi,Srinivasulu et al. 2016,175.2933392,8.697282207
Hipposideros durgadasi,Srinivasulu et al. 2016,175.315072,7.311142644
Hipposideros durgadasi,Srinivasulu et al. 2016,175.3482813,7.864250257
Hipposideros durgadasi,Srinivasulu et al. 2016,175.3482813,7.864250257
Hipposideros durgadasi,Srinivasulu et al. 2016,175.3840973,8.598959963
Hipposideros durgadasi,Srinivasulu et al. 2016,175.1170902,7.362014546
Hipposideros durgadasi,Srinivasulu et al. 2016,174.7789457,8.21334201
Hipposideros durgadasi,Srinivasulu et al. 2016,175.2036267,7.873899698
Hipposideros fulvus,Srinivasulu et al. 2015,157.5248913,3.932981933
Hipposideros fulvus,Srinivasulu et al. 2015,157.7327281,3.625092991
Hipposideros fulvus,Srinivasulu et al. 2015,156.33809,3.928092785
Hipposideros fulvus,Srinivasulu et al. 2015,155.5268674,2.166369161
Hipposideros fulvus,Srinivasulu et al. 2015,157.6859723,2.129854062
Hipposideros fulvus,Srinivasulu et al. 2015,154.1533064,2.080939542
Hipposideros fulvus,Srinivasulu et al. 2015,154.0530562,3.937840064
Hipposideros fulvus,Srinivasulu et al. 2015,154.6770068,2.376997187
Hipposideros fulvus,Srinivasulu et al. 2015,154.7982102,3.655638678
Hipposideros fulvus,Srinivasulu et al. 2015,155.639864,3.517401598
Hipposideros fulvus,Srinivasulu et al. 2015,153.7531491,2.09730194
Hipposideros fulvus,Srinivasulu et al. 2015,156.5253977,3.508195097
Hipposideros fulvus,Srinivasulu et al. 2015,154.1479745,2.141169505
Hipposideros fulvus,Srinivasulu et al. 2015,154.3889673,1.983287402
Hipposideros fulvus,Srinivasulu et al. 2015,154.9381446,3.774368308
Hipposideros fulvus,Srinivasulu et al. 2015,155.8006586,3.051373077
Hipposideros fulvus,Srinivasulu et al. 2015,157.7327281,3.625092991
Hipposideros fulvus,Srinivasulu et al. 2015,156.4641618,3.103647732
Hipposideros fulvus,Srinivasulu et al. 2015,154.3889673,1.983287402
Hipposideros fulvus,Srinivasulu et al. 2015,156.1909206,2.580411021
Hipposideros fulvus,Srinivasulu et al. 2015,157.7403301,3.930875612
Hipposideros fulvus,Srinivasulu et al. 2015,153.6015444,2.551757434
Hipposideros fulvus,Srinivasulu et al. 2015,156.6684035,2.104833911
Hipposideros fulvus,Srinivasulu et al. 2015,157.1220479,2.778186464
Hipposideros fulvus,"Raman & Hughes, 2020",151.3543325,4.153144386
Hipposideros fulvus,Srinivasulu et al. 2015,156.05317,2.38371652
Hipposideros fulvus,Srinivasulu et al. 2015,155.5768584,2.234301711
Hipposideros fulvus,Srinivasulu et al. 2015,154.0906749,2.523202521
Hipposideros fulvus,Srinivasulu et al. 2015,156.9123042,2.923747594
Hipposideros fulvus,Srinivasulu et al. 2015,155.5709997,2.329954807
Hipposideros fulvus,"Raman & Hughes, 2020",151.6568046,4.247208178
Hipposideros fulvus,"Raman & Hughes, 2020",151.3139944,4.372196804
Hipposideros fulvus,Srinivasulu et al. 2015,156.4996866,3.762205595
Hipposideros fulvus,Srinivasulu et al. 2015,156.2544698,2.643710213
Hipposideros fulvus,Srinivasulu et al. 2015,157.5726563,3.129612073
Hipposideros fulvus,Srinivasulu et al. 2015,154.9858541,3.644964478
Hipposideros fulvus,Srinivasulu et al. 2015,154.616161,3.059546181
Hipposideros fulvus,Srinivasulu et al. 2015,156.2025173,3.549326622
Hipposideros fulvus,Srinivasulu et al. 2015,156.6866667,2.90971892
Hipposideros fulvus,Srinivasulu et al. 2015,157.3404322,2.629537796
Hipposideros fulvus,Srinivasulu et al. 2015,157.3422597,2.987761499
Hipposideros fulvus,Srinivasulu et al. 2015,156.3737665,2.957757172
Hipposideros fulvus,Srinivasulu et al. 2015,157.7746893,3.123548858
Hipposideros fulvus,Srinivasulu et al. 2015,155.5994328,3.443394552
Hipposideros fulvus,Srinivasulu et al. 2015,157.7393179,2.508952724
Hipposideros fulvus,Srinivasulu et al. 2015,155.8458286,3.131116724
Hipposideros fulvus,Srinivasulu et al. 2015,154.3889673,1.983287402
Hipposideros fulvus,Srinivasulu et al. 2015,154.8561551,2.174834218
Hipposideros fulvus,Srinivasulu et al. 2015,156.4641618,3.103647732
Hipposideros fulvus,"Raman & Hughes, 2020",150.9896417,4.251572166
Hipposideros galeritus,"Shah & Srinivasulu, 2020",108.6101894,5.712692305
Hipposideros galeritus,"Raman & Hughes, 2020",113.8647846,6.831029879
Hipposideros galeritus,"Srinivasulu & Srinivasulu, 2017",113.5626087,6.86180553
Hipposideros galeritus,"Shah & Srinivasulu, 2020",108.422554,5.513906589
Hipposideros galeritus,"Raman & Hughes, 2020",114.1704913,6.316317394
Hipposideros galeritus,"Raman & Hughes, 2020",113.9887291,6.760637497
Hipposideros galeritus,"Raman & Hughes, 2020",114.0351973,6.101925075
Hipposideros galeritus,"Raman & Hughes, 2020",114.1593124,6.21820691
Hipposideros galeritus,"Shah & Srinivasulu, 2020",108.1446298,5.620345857
Hipposideros galeritus,"Raman & Hughes, 2020",114.413189,5.757909956
Hipposideros galeritus,"Shah & Srinivasulu, 2020",108.8732236,5.881620973
Hipposideros galeritus,"Raman & Hughes, 2020",114.0004024,5.914503221
Hipposideros galeritus,"Shah & Srinivasulu, 2020",109.2401142,6.257560372
Hipposideros galeritus,"Shah & Srinivasulu, 2020",107.8557678,5.770220198
Hipposideros galeritus,"Shah & Srinivasulu, 2020",108.5990033,6.006297651
Hipposideros galeritus,"Raman & Hughes, 2020",114.3999573,6.315800951
Hipposideros galeritus,"Srinivasulu & Srinivasulu, 2017",113.5626087,6.86180553
Hipposideros galeritus,"Raman & Hughes, 2020",114.413189,5.757909956
Hipposideros galeritus,"Shah & Srinivasulu, 2020",108.2095451,5.92603017
Hipposideros galeritus,"Shah & Srinivasulu, 2020",109.3872151,5.595041756
Hipposideros galeritus,"Shah & Srinivasulu, 2020",109.3742365,6.244319816
Hipposideros galeritus,"Shah & Srinivasulu, 2020",109.4510447,6.122141665
Hipposideros galeritus,"Raman & Hughes, 2020",114.1593124,6.21820691
Hipposideros galeritus,"Raman & Hughes, 2020",113.8647846,6.831029879
Hipposideros galeritus,"Raman & Hughes, 2020",114.0351973,6.101925075
Hipposideros galeritus,"Shah & Srinivasulu, 2020",107.7882596,6.09088713
Hipposideros galeritus,Srinivasulu et al. 2015,115.3825117,5.019904409
Hipposideros galeritus,"Shah & Srinivasulu, 2020",108.8740824,5.327197712
Hipposideros galeritus,"Raman & Hughes, 2020",113.9449781,5.719762734
Hipposideros galeritus,"Shah & Srinivasulu, 2020",109.5191597,6.029031388
Hipposideros galeritus,"Shah & Srinivasulu, 2020",108.3969124,5.711043034
Hipposideros galeritus,"Shah & Srinivasulu, 2020",109.4510447,6.122141665
Hipposideros galeritus,"Raman & Hughes, 2020",114.3143571,6.563306075
Hipposideros galeritus,"Shah & Srinivasulu, 2020",109.1979772,5.3758676
Hipposideros galeritus,"Raman & Hughes, 2020",114.5360295,6.652478617
Hipposideros galeritus,"Shah & Srinivasulu, 2020",109.2928774,5.802661714
Hipposideros galeritus,"Shah & Srinivasulu, 2020",108.9123033,5.615385309
Hipposideros galeritus,"Shah & Srinivasulu, 2020",108.1886485,5.446685298
Hipposideros galeritus,"Raman & Hughes, 2020",113.9668417,6.423170308
Hipposideros galeritus,"Shah & Srinivasulu, 2020",108.0838676,5.782968275
Hipposideros galeritus,"Shah & Srinivasulu, 2020",109.3176695,6.181526173
Hipposideros galeritus,Srinivasulu et al. 2015,113.5551523,4.710026803
Hipposideros galeritus,Srinivasulu et al. 2015,114.5656387,4.745405488
Hipposideros galeritus,"Raman & Hughes, 2020",114.0004024,5.914503221
Hipposideros galeritus,"Shah & Srinivasulu, 2020",109.5388613,5.567029998
Hipposideros galeritus,"Srinivasulu & Srinivasulu, 2017",113.4703108,6.169168804
Hipposideros galeritus,"Srinivasulu & Srinivasulu, 2017",113.5626087,6.86180553
Hipposideros galeritus,"Shah & Srinivasulu, 2020",107.750841,6.314441088
Hipposideros galeritus,Srinivasulu et al. 2015,113.2358241,5.058804574
Hipposideros galeritus,"Raman & Hughes, 2020",114.5360295,6.652478617
Hipposideros hypophyllus,Srinivasulu et al. 2016,103.8662875,7.136205988
Hipposideros hypophyllus,Srinivasulu et al. 2016,103.9633547,6.807433903
Hipposideros hypophyllus,Srinivasulu et al. 2016,104.1608847,5.299996368
Hipposideros hypophyllus,Srinivasulu et al. 2016,104.3283252,5.925506812
Hipposideros hypophyllus,Srinivasulu et al. 2016,103.7329942,6.230789869
Hipposideros hypophyllus,Srinivasulu et al. 2016,103.7201015,6.13943113
Hipposideros hypophyllus,Srinivasulu et al. 2016,104.2021096,5.666915407
Hipposideros hypophyllus,Srinivasulu et al. 2016,104.1608847,5.299996368
Hipposideros hypophyllus,Srinivasulu et al. 2016,103.9633547,6.807433903
Hipposideros hypophyllus,Srinivasulu et al. 2016,103.7201015,6.13943113
Hipposideros hypophyllus,Srinivasulu et al. 2016,104.1437605,7.03053259
Hipposideros hypophyllus,Srinivasulu et al. 2016,103.4057435,6.682948765
Hipposideros hypophyllus,Srinivasulu et al. 2016,104.2021096,5.666915407
Hipposideros hypophyllus,Srinivasulu et al. 2016,103.6334743,6.755890845
Hipposideros hypophyllus,Srinivasulu et al. 2016,103.6334743,6.755890845
Hipposideros hypophyllus,Srinivasulu et al. 2016,104.3283252,5.925506812
Hipposideros hypophyllus,Srinivasulu et al. 2016,103.5934826,5.360806289
Hipposideros hypophyllus,Srinivasulu et al. 2016,103.9633547,6.807433903
Hipposideros hypophyllus,Srinivasulu et al. 2016,103.9633547,6.807433903
Hipposideros hypophyllus,Srinivasulu et al. 2016,104.5027389,7.098751038
Hipposideros hypophyllus,Srinivasulu et al. 2016,103.7201015,6.13943113
Hipposideros hypophyllus,Srinivasulu et al. 2016,103.5934826,5.360806289
Hipposideros hypophyllus,Srinivasulu et al. 2016,103.4057435,6.682948765
Hipposideros hypophyllus,Srinivasulu et al. 2016,104.1608847,5.299996368
Hipposideros hypophyllus,Srinivasulu et al. 2016,104.3283252,5.925506812
Hipposideros hypophyllus,Srinivasulu et al. 2016,103.9633547,6.807433903
Hipposideros hypophyllus,Srinivasulu et al. 2016,103.6334743,6.755890845
Hipposideros hypophyllus,Srinivasulu et al. 2016,103.9633547,6.807433903
Hipposideros hypophyllus,Srinivasulu et al. 2016,103.8634134,6.933299923
Hipposideros hypophyllus,Srinivasulu et al. 2016,103.8634134,6.933299923
Hipposideros hypophyllus,Srinivasulu et al. 2016,103.9633547,6.807433903
Hipposideros hypophyllus,Srinivasulu et al. 2016,104.3283252,5.925506812
Hipposideros hypophyllus,Srinivasulu et al. 2016,103.7329942,6.230789869
Hipposideros hypophyllus,Srinivasulu et al. 2016,103.5934826,5.360806289
Hipposideros hypophyllus,Srinivasulu et al. 2016,103.8634134,6.933299923
Hipposideros hypophyllus,Srinivasulu et al. 2016,104.3283252,5.925506812
Hipposideros hypophyllus,Srinivasulu et al. 2016,104.5027389,7.098751038
Hipposideros hypophyllus,Srinivasulu et al. 2016,103.6334743,6.755890845
Hipposideros hypophyllus,Srinivasulu et al. 2016,103.8634134,6.933299923
Hipposideros hypophyllus,Srinivasulu et al. 2016,103.8634134,6.933299923
Hipposideros hypophyllus,Srinivasulu et al. 2016,103.8634134,6.933299923
Hipposideros hypophyllus,Srinivasulu et al. 2016,103.9633547,6.807433903
Hipposideros hypophyllus,Srinivasulu et al. 2016,104.2021096,5.666915407
Hipposideros hypophyllus,Srinivasulu et al. 2016,104.5027389,7.098751038
Hipposideros hypophyllus,Srinivasulu et al. 2016,103.6334743,6.755890845
Hipposideros hypophyllus,Srinivasulu et al. 2016,104.3283252,5.925506812
Hipposideros hypophyllus,Srinivasulu et al. 2016,103.4057435,6.682948765
Hipposideros hypophyllus,Srinivasulu et al. 2016,103.3942057,6.852728281
Hipposideros hypophyllus,Srinivasulu et al. 2016,103.7201015,6.13943113
Hipposideros hypophyllus,Srinivasulu et al. 2016,103.5099519,6.75280772
Hipposideros lankadiva,Srinivasulu et al. 2015,75.5990519,10.08376332
Hipposideros lankadiva,Srinivasulu et al. 2015,82.57210851,6.199470592
Hipposideros lankadiva,Srinivasulu et al. 2015,76.44407564,11.53059212
Hipposideros lankadiva,Srinivasulu et al. 2015,74.28491695,6.421147504
Hipposideros lankadiva,Srinivasulu et al. 2015,79.23520239,7.49356754
Hipposideros lankadiva,Srinivasulu et al. 2015,76.44407564,11.53059212
Hipposideros lankadiva,Srinivasulu et al. 2015,79.61673961,7.648660992
Hipposideros lankadiva,Srinivasulu et al. 2015,79.37836497,8.020784911
Hipposideros lankadiva,Srinivasulu et al. 2015,76.86415142,6.535059085
Hipposideros lankadiva,Srinivasulu et al. 2015,75.36854455,6.304159764
Hipposideros lankadiva,Srinivasulu et al. 2015,74.86877175,8.321049928
Hipposideros lankadiva,Srinivasulu et al. 2015,83.03379097,7.051487158
Hipposideros lankadiva,Srinivasulu et al. 2015,83.03379097,7.051487158
Hipposideros lankadiva,Srinivasulu et al. 2015,81.61871568,8.312546386
Hipposideros lankadiva,Srinivasulu et al. 2015,82.45396322,12.26110816
Hipposideros lankadiva,Srinivasulu et al. 2015,75.43336003,7.778174683
Hipposideros lankadiva,Srinivasulu et al. 2015,78.02458092,11.13461129
Hipposideros lankadiva,Srinivasulu et al. 2015,82.49732195,11.29212466
Hipposideros lankadiva,Srinivasulu et al. 2015,78.00759031,9.615721254
Hipposideros lankadiva,Srinivasulu et al. 2015,80.88123641,11.95890757
Hipposideros lankadiva,Srinivasulu et al. 2015,83.24557956,11.63317274
Hipposideros lankadiva,Srinivasulu et al. 2015,80.31487215,10.08453148
Hipposideros lankadiva,Srinivasulu et al. 2015,82.17492755,6.371426369
Hipposideros lankadiva,Srinivasulu et al. 2015,74.35672009,12.11911232
Hipposideros lankadiva,Srinivasulu et al. 2015,80.16871701,10.00326245
Hipposideros lankadiva,Srinivasulu et al. 2015,74.0962591,7.441526296
Hipposideros lankadiva,Srinivasulu et al. 2015,80.67788545,6.838534994
Hipposideros lankadiva,Srinivasulu et al. 2015,81.85784194,10.720236
Hipposideros lankadiva,Srinivasulu et al. 2015,75.00732021,8.76511684
Hipposideros lankadiva,Srinivasulu et al. 2015,78.63471127,8.470787238
Hipposideros lankadiva,Srinivasulu et al. 2015,78.89614113,9.267454718
Hipposideros lankadiva,Srinivasulu et al. 2015,78.87975289,10.22379177
Hipposideros lankadiva,Srinivasulu et al. 2015,81.82213474,6.019766316
Hipposideros lankadiva,Srinivasulu et al. 2015,77.72317309,8.232705373
Hipposideros lankadiva,Srinivasulu et al. 2015,80.6671371,11.74832505
Hipposideros lankadiva,Srinivasulu et al. 2015,77.89428974,7.432586449
Hipposideros lankadiva,Srinivasulu et al. 2015,75.88016338,6.574734089
Hipposideros lankadiva,Srinivasulu et al. 2015,76.54449909,10.54378188
Hipposideros lankadiva,Srinivasulu et al. 2015,75.78995847,9.46524481
Hipposideros lankadiva,Srinivasulu et al. 2015,76.01826743,9.333181546
Hipposideros lankadiva,Srinivasulu et al. 2015,77.23682178,7.178782278
Hipposideros lankadiva,Srinivasulu et al. 2015,74.58287143,9.600919994
Hipposideros lankadiva,Srinivasulu et al. 2015,82.85289909,6.170247504
Hipposideros lankadiva,Srinivasulu et al. 2015,81.45173328,10.71128874
Hipposideros lankadiva,Srinivasulu et al. 2015,81.45173328,10.71128874
Hipposideros lankadiva,Srinivasulu et al. 2015,73.67351546,9.775917463
Hipposideros lankadiva,Srinivasulu et al. 2015,74.87614981,7.085044986
Hipposideros lankadiva,Srinivasulu et al. 2015,83.57447788,11.84089249
Hipposideros lankadiva,Srinivasulu et al. 2015,82.98587164,7.512351791
Hipposideros lankadiva,Srinivasulu et al. 2015,75.43336003,7.778174683
Hipposideros pomona,"Raman & Hughes, 2020",124.8720381,6.905801949
Hipposideros pomona,"Raman & Hughes, 2020",121.7808635,5.462189307
Hipposideros pomona,"Raman & Hughes, 2020",123.0150825,6.046694885
Hipposideros pomona,"Raman & Hughes, 2020",123.1581312,5.865811968
Hipposideros pomona,"Raman & Hughes, 2020",122.046574,5.981202323
Hipposideros pomona,"Raman & Hughes, 2020",122.3334282,6.490549259
Hipposideros pomona,"Raman & Hughes, 2020",124.3992101,5.820571307
Hipposideros pomona,"Raman & Hughes, 2020",124.8720381,6.905801949
Hipposideros pomona,"Raman & Hughes, 2020",122.6091172,5.845699098
Hipposideros pomona,"Raman & Hughes, 2020",124.9894926,6.425421985
Hipposideros pomona,"Raman & Hughes, 2020",122.8331245,6.417136466
Hipposideros pomona,"Raman & Hughes, 2020",121.3470401,6.544520393
Hipposideros pomona,"Raman & Hughes, 2020",122.5489215,6.541566287
Hipposideros pomona,"Raman & Hughes, 2020",121.3470401,6.544520393
Hipposideros pomona,"Raman & Hughes, 2020",124.5520068,6.83429642
Hipposideros pomona,"Raman & Hughes, 2020",120.9006133,6.575633241
Hipposideros pomona,"Raman & Hughes, 2020",125.9158941,5.630694761
Hipposideros pomona,"Raman & Hughes, 2020",124.6409221,5.687020171
Hipposideros pomona,"Raman & Hughes, 2020",123.3800399,6.355086908
Hipposideros pomona,"Raman & Hughes, 2020",125.7642401,5.852157954
Hipposideros pomona,"Raman & Hughes, 2020",123.5399078,5.502814673
Hipposideros pomona,"Raman & Hughes, 2020",125.5252829,6.250173223
Hipposideros pomona,"Raman & Hughes, 2020",118.8045402,6.571780202
